layer,fixed_layer_a,fixed_layer_b,x,y,residual,residual error,tag
4,1,2,43.6227,105.525,-0.11354,0.448999,5A
2,1,4,43.6227,104.818,0.0378467,0.149666,5A
1,2,4,43.6227,104.577,-0.05677,0.224499,5A
3,1,2,538.046,738.157,-0.07846,0.293939,7C
4,1,2,538.046,737.735,-0.05546,0.448999,7C
2,1,3,538.046,738.537,0.03923,0.146969,7C
4,1,3,538.046,737.618,0.06223,0.224499,7C
2,1,4,538.046,738.558,0.0184867,0.149666,7C
3,1,4,538.046,738.12,-0.0414866,0.149666,7C
1,2,3,538.046,739.076,-0.0784599,0.293939,7C
4,2,3,538.046,737.579,0.10146,0.293939,7C
1,2,4,538.046,739.026,-0.02773,0.224499,7C
3,2,4,538.046,738.13,-0.05073,0.146969,7C
1,3,4,538.046,738.874,0.12446,0.448999,7C
2,3,4,538.046,738.475,0.10146,0.293939,7C
3,1,2,538.851,778.306,0.02454,0.293939,7D1
2,1,3,538.851,778.633,-0.01227,0.146969,7D1
1,2,3,538.851,778.914,0.0245404,0.293939,7D1
3,1,2,44.2496,746.891,-0.07154,0.293939,8A
4,1,2,44.2496,747.291,-0.08354,0.448999,8A
2,1,3,44.2496,746.458,0.03577,0.146969,8A
4,1,3,44.2496,747.183,0.02377,0.224499,8A
2,1,4,44.2496,746.466,0.0278467,0.149666,8A
3,1,4,44.2496,746.835,-0.0158467,0.149666,8A
1,2,3,44.2496,746.166,-0.07154,0.293939,8A
4,2,3,44.2496,747.147,0.05954,0.293939,8A
1,2,4,44.2496,746.136,-0.04177,0.224499,8A
3,2,4,44.2496,746.849,-0.02977,0.146969,8A
1,3,4,44.2496,746.046,0.04754,0.448999,8A
2,3,4,44.2496,746.434,0.05954,0.293939,8A
3,1,2,-67.0469,685.037,-0.13045,0.293939,8B
4,1,2,-67.0469,684.963,-0.01145,0.448999,8B
2,1,3,-67.0469,685.046,0.065225,0.146969,8B
4,1,3,-67.0469,684.768,0.184225,0.224499,8B
2,1,4,-67.0469,685.107,0.00381667,0.149666,8B
3,1,4,-67.0469,685.03,-0.122817,0.149666,8B
1,2,3,-67.0469,685.315,-0.13045,0.293939,8B
4,2,3,-67.0469,684.703,0.24945,0.293939,8B
1,2,4,-67.0469,685.191,-0.005725,0.224499,8B
3,2,4,-67.0469,685.032,-0.124725,0.146969,8B
1,3,4,-67.0469,684.817,0.36845,0.448999,8B
2,3,4,-67.0469,684.862,0.24945,0.293939,8B
3,1,2,-135.713,751.856,0.05354,0.293939,8C
4,1,2,-135.713,751.41,0.24254,0.448999,8C
2,1,3,-135.713,752.326,-0.02677,0.146969,8C
4,1,3,-135.713,751.491,0.16223,0.224499,8C
2,1,4,-135.713,752.38,-0.0808466,0.149666,8C
3,1,4,-135.713,752.018,-0.108153,0.149666,8C
1,2,3,-135.713,752.691,0.0535401,0.293939,8C
4,2,3,-135.713,751.518,0.13546,0.293939,8C
1,2,4,-135.713,752.624,0.12127,0.224499,8C
3,2,4,-135.713,751.978,-0.06773,0.146969,8C
1,3,4,-135.713,752.421,0.32446,0.448999,8C
2,3,4,-135.713,752.164,0.13546,0.293939,8C
3,1,2,-551.16,758.87,0.02846,0.293939,9A
4,1,2,-551.16,759.214,-0.03554,0.448999,9A
2,1,3,-551.16,758.543,-0.01423,0.146969,9A
4,1,3,-551.16,759.256,-0.07823,0.224499,9A
2,1,4,-551.16,758.517,0.0118467,0.149666,9A
3,1,4,-551.16,758.846,0.0521534,0.149666,9A
1,2,3,-551.16,758.157,0.0284603,0.293939,9A
4,2,3,-551.16,759.27,-0.0924597,0.293939,9A
1,2,4,-551.16,758.203,-0.01777,0.224499,9A
3,2,4,-551.16,758.852,0.04623,0.146969,9A
1,3,4,-551.16,758.341,-0.15646,0.448999,9A
2,3,4,-551.16,758.621,-0.09246,0.293939,9A
4,1,2,-65.3412,992.413,0.12255,0.448999,11B
2,1,4,-65.3412,992.758,-0.04085,0.149666,11B
1,2,4,-65.3412,992.808,0.061275,0.224499,11B
